Date,NO,NO2,PM10,PM2.5,CO2,TEMP,HUMI
2013-01-01,47.5046007915699,49.76725319215199,311.7826086956522,117.6086956521739,425.2173913043478,20.0,48.130434782608695
2013-01-02,47.50460079156991,49.767253192152,373.8081660685835,136.33333333333334,533.1906243911172,19.875,46.541666666666664
2013-01-03,47.50460079156991,49.767253192152,364.1666666666667,144.25,524.6643746346704,20.375,51.416666666666664
2013-01-04,60.2947338610466,46.886502128101334,362.8498327352502,145.69918485086143,566.6466656924543,20.791666666666668,50.416666666666664
2013-01-05,60.541666666666664,35.708333333333336,315.3333333333333,125.69918485086141,518.875,20.625,49.625
2013-01-06,59.708333333333336,29.5,297.2083333333333,119.20833333333333,479.7083333333333,19.875,48.583333333333336
2013-01-07,55.875,36.083333333333336,255.83333333333334,97.61585151752809,550.2083333333334,19.875,46.666666666666664
2013-01-08,69.35435836631541,40.916666666666664,158.625,68.75,546.0416666666666,19.333333333333332,44.708333333333336
2013-01-09,74.33333333333333,31.916666666666668,243.375,89.44918485086141,580.125,18.875,45.458333333333336
2013-01-10,102.875,35.583333333333336,136.91666666666666,48.875,579.1666666666666,18.958333333333332,48.416666666666664
2013-01-11,106.70833333333333,53.208333333333336,168.375,61.083333333333336,565.125,18.791666666666668,45.333333333333336
2013-01-12,98.625,49.291666666666664,155.66666666666666,55.0,537.7083333333334,18.75,45.0
2013-01-13,57.125,35.416666666666664,118.75,45.125,481.5,18.208333333333332,43.708333333333336
2013-01-14,74.54166666666667,30.541666666666668,323.3333333333333,119.25,579.7916666666666,17.583333333333332,40.958333333333336
2013-01-15,114.75,45.291666666666664,269.57466547050035,94.48170303505616,558.2916666666666,17.333333333333332,43.833333333333336
2013-01-16,133.04166666666666,48.833333333333336,273.40799880383366,98.19003636838949,572.3333333333334,16.916666666666668,40.25
2013-01-17,188.3543583663154,54.656968883006336,448.5659976076674,164.23170303505614,644.4691661795605,17.208333333333332,41.041666666666664
2013-01-18,96.70833333333333,34.916666666666664,461.7083333333333,162.54166666666666,653.7214582115568,16.875,41.875
2013-01-19,72.58333333333333,33.208333333333336,389.6666666666667,135.375,578.6666666666666,16.458333333333332,43.916666666666664
2013-01-20,24.541666666666668,23.791666666666668,483.15799880383366,218.33333333333334,501.7083333333333,15.833333333333334,45.541666666666664
2013-01-21,90.83333333333333,30.375,519.875,185.625,623.3333333333334,16.583333333333332,47.458333333333336
2013-01-22,93.375,37.625,354.90799880383366,155.0,613.2916666666666,16.833333333333332,46.291666666666664
2013-01-23,144.5,43.375,464.6831660685835,176.83333333333334,614.2083333333334,17.75,47.5
2013-01-24,148.70833333333334,43.583333333333336,453.9166666666667,161.625,609.9583333333334,17.583333333333332,45.291666666666664
2013-01-25,86.27102503298208,41.740302216339664,416.8081660685835,153.79166666666666,607.8179164231136,16.833333333333332,41.708333333333336
2013-01-26,146.95833333333334,44.333333333333336,382.0416666666667,129.875,595.0,16.625,44.375
2013-01-27,28.833333333333332,32.208333333333336,388.875,131.60670303505614,495.1666666666667,16.833333333333332,48.0
2013-01-28,87.33333333333333,36.458333333333336,498.5,176.0,612.2916666666666,17.916666666666668,48.541666666666664
2013-01-29,62.5,29.791666666666668,406.625,173.20833333333334,582.1666666666666,18.75,53.416666666666664
2013-01-30,49.666666666666664,35.25,279.78299880383366,168.125,558.7083333333334,19.416666666666668,52.583333333333336
2013-01-31,45.20910013192832,42.781968883006336,330.9331660685835,124.64836970172281,591.7631248782235,19.291666666666668,48.125
2013-02-01,57.125,39.375,372.89149940191686,139.14836970172283,630.0,19.708333333333332,50.458333333333336
2013-02-02,81.66666666666667,51.0,264.19966547050035,89.375,546.2083333333334,19.0,45.208333333333336
2013-02-03,28.375,43.416666666666664,273.625,92.75,482.7083333333333,18.25,43.5
2013-02-04,48.041666666666664,34.458333333333336,432.9331660685835,152.77336970172283,597.5833333333334,19.125,50.083333333333336
2013-02-05,57.25,41.291666666666664,436.8081660685835,151.81503636838949,593.5416666666666,19.083333333333332,46.666666666666664
2013-02-06,67.5,40.958333333333336,394.69966547050035,144.39836970172283,578.2916666666666,18.625,46.083333333333336
2013-02-07,68.72935836631541,50.82363554967301,301.5998327352502,128.30588788591757,541.8024995128939,17.875,43.041666666666664
2013-02-08,111.60435836631541,49.44863554967301,362.32466547050035,160.40751818419474,529.4970806542494,18.124403148064467,44.26165601719989
2013-02-09,78.5,51.041666666666664,280.26649940191686,100.36585151752809,540.314997077363,17.541666666666668,43.208333333333336
2013-02-10,47.666666666666664,37.0,339.0833333333333,125.95833333333333,540.314997077363,17.208333333333332,44.041666666666664
2013-02-11,68.54166666666667,43.125,385.51649940191686,159.82418485086143,585.5147895964654,18.041666666666668,47.541666666666664
2013-02-12,92.79166666666667,40.416666666666664,351.4166666666667,146.20833333333334,619.2214582115568,17.916666666666668,43.833333333333336
2013-02-13,82.10435836631541,51.083333333333336,392.7916666666667,168.83333333333334,613.75,17.416666666666668,40.458333333333336
